povezava,ime,avtor,cas_priprave,povprečna_ocena,kategorija
'/recepti/juhe-in-zakuhe/ostale-juhe/cmocki-sarenke-v-zametni-bucni-juhi/21290/',Cmočki šarenke v žametni bučni juhi,Spar Slovenija,45 min,Unknown,juha
'/recepti/juhe-in-zakuhe/ostale-juhe/spargljeva-kremna-juha-z-zlicniki-iz-sunke-in-cemaza/21315/',Špargljeva kremna juha z žličniki iz šunke in čemaža,HOFER Slovenija,45 min,Unknown,juha
'/recepti/juhe-in-zakuhe/ostale-juhe/skutn-ca/21287/',Skutn'ca,ZELENE DOLINE,15 min,Unknown,juha
'/recepti/juhe-in-zakuhe/jusne-zakuhe/domaca-ribana-kasa/20825/',Domača ribana kaša,Žito,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/hladne-juhe/hladna-kumaricna-juha-z-morskim-nabodalom/21977/',Hladna kumarična juha z morskim nabodalom,HOFER Slovenija,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/bucna-juhica-z-ingverjem/22080/',Bučna juhica z ingverjem,HOFER Slovenija,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/hladne-juhe/kumaricin-gazpacho-z-baziliko/22011/',Kumaričin gazpacho z baziliko,HOFER Slovenija,4+ ur,Unknown,juha
'/recepti/juhe-in-zakuhe/hladne-juhe/hladna-paradiznikova-juha/22044/',Hladna paradižnikova juha,HOFER Slovenija,4 ure,Unknown,juha
'/recepti/juhe-in-zakuhe/ostale-juhe/kremna-juha-iz-sampinjonov-spinace-in-lece-po-receptu-taja-s-goods/22356/',"Kremna juha iz šampinjonov, špinače in leče po receptu Taja’s goods",HOFER Slovenija,45 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/korenckova-juha-z-jajcem-/22255/',Korenčkova juha z jajcem ,HOFER Slovenija,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/juha-iz-jabolk-in-zelene-s-cesnovimi-krusnimi-kockami/22128/',Juha iz jabolk in zelene s česnovimi krušnimi kockami,HOFER Slovenija,1 ura,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/juha-iz-rdecega-zelja-s-hrustljavo-slanino/22129/',Juha iz rdečega zelja s hrustljavo slanino,HOFER Slovenija,45 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/buckino-porova-juha-s-kozjim-sirom/22293/',Bučkino-porova juha s kozjim sirom,HOFER Slovenija,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/mesne-juhe/mlejcna-krumsova-zupa-z-ajdovo-kaso-pa-sparglji/22503/',Mlejčna krumšova župa z ajdovo kašo pa šparglji,Ave_,1 ura 30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/mesne-juhe/krumsova-zupa/22493/',Krumšova župa,Ave_,1 ura 30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/gosta-korenckova-juha-s-pure-svedri-in-ingverjem/22688/',Gosta korenčkova juha s Pure svedri in ingverjem,Pekarna Pečjak,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/ostale-juhe/ribja-juha-s-testeninami/22716/',Ribja juha s testeninami,Pekarna Pečjak,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/mesne-juhe/piscancja-juha-s-tortelini/22698/',Piščančja juha s tortelini,Pekarna Pečjak,1 ura,Unknown,juha
'/recepti/juhe-in-zakuhe/hladne-juhe/mandljeva-juha-ajoblanco/22718/',Mandljeva juha ajoblanco,Pekarna Pečjak,2 uri 30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/jesenska-juhica-s-kvinojo/22747/',Jesenska juhica s kvinojo,Malinca Nastja,1 ura,Unknown,juha
'/recepti/juhe-in-zakuhe/ostale-juhe/spargljeva-kremna-juha-z-zlicniki-iz-sunke-in-cemaza/21315/',Špargljeva kremna juha z žličniki iz šunke in čemaža,HOFER Slovenija,45 min,Unknown,juha
'/recepti/juhe-in-zakuhe/ostale-juhe/skutn-ca/21287/',Skutn'ca,ZELENE DOLINE,15 min,Unknown,juha
'/recepti/juhe-in-zakuhe/jusne-zakuhe/domaca-ribana-kasa/20825/',Domača ribana kaša,Žito,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/hladne-juhe/hladna-kumaricna-juha-z-morskim-nabodalom/21977/',Hladna kumarična juha z morskim nabodalom,HOFER Slovenija,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/bucna-juhica-z-ingverjem/22080/',Bučna juhica z ingverjem,HOFER Slovenija,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/hladne-juhe/kumaricin-gazpacho-z-baziliko/22011/',Kumaričin gazpacho z baziliko,HOFER Slovenija,4+ ur,Unknown,juha
'/recepti/juhe-in-zakuhe/hladne-juhe/hladna-paradiznikova-juha/22044/',Hladna paradižnikova juha,HOFER Slovenija,4 ure,Unknown,juha
'/recepti/juhe-in-zakuhe/ostale-juhe/kremna-juha-iz-sampinjonov-spinace-in-lece-po-receptu-taja-s-goods/22356/',"Kremna juha iz šampinjonov, špinače in leče po receptu Taja’s goods",HOFER Slovenija,45 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/korenckova-juha-z-jajcem-/22255/',Korenčkova juha z jajcem ,HOFER Slovenija,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/juha-iz-jabolk-in-zelene-s-cesnovimi-krusnimi-kockami/22128/',Juha iz jabolk in zelene s česnovimi krušnimi kockami,HOFER Slovenija,1 ura,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/juha-iz-rdecega-zelja-s-hrustljavo-slanino/22129/',Juha iz rdečega zelja s hrustljavo slanino,HOFER Slovenija,45 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/buckino-porova-juha-s-kozjim-sirom/22293/',Bučkino-porova juha s kozjim sirom,HOFER Slovenija,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/mesne-juhe/mlejcna-krumsova-zupa-z-ajdovo-kaso-pa-sparglji/22503/',Mlejčna krumšova župa z ajdovo kašo pa šparglji,Ave_,1 ura 30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/mesne-juhe/krumsova-zupa/22493/',Krumšova župa,Ave_,1 ura 30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/gosta-korenckova-juha-s-pure-svedri-in-ingverjem/22688/',Gosta korenčkova juha s Pure svedri in ingverjem,Pekarna Pečjak,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/ostale-juhe/ribja-juha-s-testeninami/22716/',Ribja juha s testeninami,Pekarna Pečjak,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/mesne-juhe/piscancja-juha-s-tortelini/22698/',Piščančja juha s tortelini,Pekarna Pečjak,1 ura,Unknown,juha
'/recepti/juhe-in-zakuhe/hladne-juhe/mandljeva-juha-ajoblanco/22718/',Mandljeva juha ajoblanco,Pekarna Pečjak,2 uri 30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/jesenska-juhica-s-kvinojo/22747/',Jesenska juhica s kvinojo,Malinca Nastja,1 ura,Unknown,juha
'/recepti/juhe-in-zakuhe/mesne-juhe/piscancja-obara-z-zlicniki/1929/',Piščančja obara z žličniki,goga,1 ura 30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/bucna-kremna-juha/11694/',Bučna kremna juha,morska medvedka,45 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/buckina-kremna-juha/5428/',Bučkina kremna juha,recepti,30 min,Unknown,juha
'/recepti/juhe-in-zakuhe/ostale-juhe/fizolova-juha/6801/',Fižolova juha,anja,Unknown,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/gobova-juha-s-krompirjem/13235/',Gobova juha s krompirjem,magic girl,1 ura 15 min,Unknown,juha
'/recepti/juhe-in-zakuhe/zelenjavne-juhe/spargljeva-kremna-juha/9409/',Špargljeva kremna juha,anamarija1,45 min,Unknown,juha
